企业名称,活力程度(Li),销售能力(Ii),合作能力(Ci),营销能力(Si),被退货率(Ei)
Cabot Corporation,2.370426829,0.076079948,0.987583572,0.062862669,1.112306658
Denbury Resources Inc.,2.502760289,0.826803491,0.003773289,8.38041558,1.177826733
NVIDIA Corporation,4.891564735,0.131428762,0.003773289,8.38041558,1.328218617
Owens Corning Inc,1.376902417,0.061682243,0.724932249,0.138691589,0.973789783
Progressive Corporation (The),2.432100007,0.064135513,0.744458829,0.104557287,2.943484934
Albany International Corporation,2.508915037,0.056012987,0.724125234,0.112962454,1.011506877
Eli Lilly and Company,1.46969697,0.202690249,0.655714963,0.248127685,0.99920029
Stryker Corporation,3.136996613,0.11151757,0.573016579,0.209067731,0.740134851
Brunswick Corporation,2.186201533,0.064006044,1.224700102,0.06163545,1.675544174
"Energizer Holdings, Inc.",1.963985279,0.08547055,1.540470411,0.119484895,0.64899931
Omnicom Group Inc.,0.949062121,0.067955706,0.659970949,0.124035791,5.168685797
"Laredo Petroleum, Inc.",1.21120688,0.17737506,0.253551011,0.548252781,1.062289351
Terex Corporation,2.222261236,0.014397692,1.089265068,0.039777367,2.360163371
MSCI Inc,1.26636795,0.214892432,0.330405097,0.30941123,0.988460153
General Electric Company,1.686754445,0.115217912,0.222439686,0.195686261,4.028567927
"Bio-Rad Laboratories, Inc.",3.916567744,0.085951535,0.669570845,0.125301358,0.775753941
Lam Research Corporation,4.788629316,0.22353818,0.797973527,0.272115979,0.642772725
Owens Corning Inc,1.801762115,0.051733833,0.708781719,0.054170572,1.033774655
Teleflex Incorporated,1.658860701,0.10200877,0.462588393,0.157754078,1.080906332
Alliant Energy Corporation,0.608254249,0.119375461,0.260387989,0.267764937,2.355226766
IHS Markit Ltd.,0.989583333,0.136967846,0.199856399,0.42716005,1.531122217
Eversource Energy,0.875909679,0.111379418,0.260129059,0.17901395,1.953987045
PBF Logistics LP,6.147502356,0.320469597,0.126487812,0.15187638,-4.274928716
AMC Networks Inc.,2.527626701,0.106465972,0.543853889,0.214889441,-3.106021726
Universal Corporation,3.080376539,0.060884058,1.154255169,0.021083971,0.879095585
Service Corporation International,0.694482461,0.063284465,0.24892488,0.153183535,6.210255639
Boston Scientific Corporation,1.267041462,-0.016124661,0.433047764,0.17195122,1.639306179
Valero Energy Corporation,2.017291066,0.030254167,1.638598315,0.063706895,1.30588294
Deere & Company,0.582614089,0.095964806,0.537367941,0.106947816,5.768042375
Entravision Communications Corporation,2.978426642,0.112056784,0.458607681,0.224807675,2.625819261
Brunswick Corporation,1.708300306,0.197864952,1.33325331,0.043755627,1.807973806
JetBlue Airways Corporation,0.619834711,0.068935878,0.742058936,0.156781846,2.099644128
Fluor Corporation,1.531367973,0.025393177,2.827160665,0.038054566,1.43563985
"Owens & Minor, Inc.",1.896353121,0.011188129,3.532491901,0.019225107,1.830879611
Microsoft Corporation,2.352881716,0.196882325,0.440488606,0.390588373,1.690306541
Canadian Solar Inc.,1.018730385,0.0228788,0.527702222,-0.097464212,5.094735843
"Cogent Communications Holdings, Inc.",2.465454368,0.162909256,0.460837689,0.235218217,2.902492093
Eagle Materials Inc,3.151224407,0.133443872,0.607066656,0.232417017,0.810263221
Las Vegas Sands Corp.,1.464712769,0.168220264,0.55692698,0.295160415,2.078805693
Jabil Inc.,1.196489664,0.02025872,2.003204359,0.06619927,2.919767035
"Applied Materials, Inc.",2.438388626,0.142561342,0.630977267,0.120405839,1.01077105
Commercial Metals Company,2.485569294,0.026503876,2.274885318,0.025036023,1.761019217
"Ascena Retail Group, Inc.",1.32353351,-0.049303546,1.647254519,0.089799913,0.920624465
BRF S.A.,1.56976055,0.038233018,0.858311763,0.119431399,1.206296784
"Advanced Disposal Services, Inc.",0.661429452,-0.021643172,0.41680762,0.168731311,3.062567812
"Kratos Defense & Security Solutions, Inc.",1.858468677,0.0301324,0.727443817,-0.0451986,2.55350118
Cabot Corporation,2.736180905,0.061800083,0.792049934,0.162588138,1.389324961
